msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004571,64350,378000,76372.1052631579,350921.05263157893
E02004572,54750,340000,64391.57894736842,308094.0789473684
E02003775,75250,347500,88925.65789473684,324191.84210526315
E02003776,71000,347000,85038.15789473684,334605.13157894736
E02003777,72500,371500,87301.31578947368,361871.15789473685
E02003778,69250,348750,81718.42105263157,361994.34210526315
E02003779,51500,285000,62282.63157894737,278841.84210526315
E02003780,79475,413500,87271.97368421052,377890.1052631579
E02003781,64250,395000,80790.26315789473,363944.7368421053
E02003783,81750,500000,115850.07894736843,456487.4736842105
E02003784,86000,415000,84593.42105263157,378907.1052631579
E02003785,66000,405000,76965.78947368421,378500
E02003786,89725,530000,110684.21052631579,506763.15789473685
E02003787,78000,397000,91886.84210526316,367618.2894736842
E02003788,87000,493500,111663.15789473684,504826.5789473684
E02003789,81000,350000,81040.52631578948,333588.15789473685
E02003790,73000,429000,100725,384197.36842105264
E02003791,88622.5,475000,110902.73684210527,460749.1052631579
E02003792,89000,440000,100436.57894736843,414030.9210526316
E02003793,87000,417500,104119.47368421052,401551.1842105263
E02006873,NA,327000,122075,301433.6842105263
E02006874,79000,325000,95522.23684210527,324683.94736842107
E02005597,52000,233250,57152.63157894737,223654.73684210525
E02005598,60000,322000,77969.73684210527,303039.0789473684
E02005599,53995,276500,62223.94736842105,267257.1052631579
E02005600,56750,320000,72030.18421052632,292644.4736842105
E02005601,48750,243000,48526.31578947369,229592.1052631579
E02005602,59972.5,360000,69771.84210526316,313390.7894736842
E02005603,48250,275000,58151.97368421053,258912.84210526315
E02005604,55500,340000,62773.68421052631,284715.2631578947
E02005605,53500,298500,61810.52631578947,274736.44736842107
E02005606,50000,297000,60411.31578947369,253197.36842105264
E02005607,53000,290000,58904.47368421053,254697.1052631579
E02005608,47500,281500,60075,261118.42105263157
E02005609,55000,260000,55407.36842105263,228694.73684210525
E02005610,71250,311750,63795.78947368421,281317.7631578947
E02005611,50222,240000,53924.71052631579,223525
E02003279,59000,342497.5,67694.47368421052,306045.9210526316
E02003280,53000,315000,61781.44736842105,289130.5263157895
E02003281,62000,370000,68174.47368421052,333235.5263157895
E02003282,52500,340500,64912.63157894737,301171.05263157893
E02003283,53500,365000,61410.39473684211,311262.8947368421
E02003284,41750,285000,50815.52631578947,260250
E02003285,34000,277000,42356.44736842105,239026.18421052632
E02003286,72500,499995,87642.76315789473,473815.2631578947
E02003287,59995,410000,69629.07894736843,368144.7368421053
E02003288,30000,200000,41023.55263157895,194036.31578947368
E02003289,47000,415500,59183.68421052631,362204.86842105264
E02003290,44000,345000,54424.60526315789,305108.6842105263
